Source,Target
457136,640
457136,487558
398173,10781
398173,1696
398173,5486
398173,12521
398173,984
407436,34584
407436,10140
407436,449176
407436,281957
244786,769
244786,398181
244786,281957
244786,74997
244786,381288
440472,10098
440472,404245
316029,424694
316029,424
316029,769
316029,640
316029,443009
272,98566
272,297762
272,36647
272,9806
272,557
466411,8966
466411,131631
466411,198663
466411,222935
466411,428078
119450,63
119450,157336
119450,76341
119450,604
511404,13
511404,112160
511404,394117
511404,8204
511404,14
205596,467952
205596,184352
205596,449176
205596,424
205596,20537
485164,370663
485164,258480
485164,273153
485164,426613
485164,39781
446101,4421
446101,10035
446101,342737
446101,20815
446101,336804
286217,568
286217,157336
286217,369972
286217,336843
286217,80274
449459,197
449459,627
449459,399402
449459,180863
449459,11780
49026,272
49026,209112
49026,263115
49026,382322
438808,1900
438808,429203
438808,504172
438808,261023
438808,699
537996,995
537996,14128
537996,9394
537996,872
537996,11697
254128,11123
254128,479475
254128,14161
254128,475210
254128,33196
455207,8966
455207,222935
455207,281957
455207,449176
455207,466282
281957,395834
281957,336843
281957,398181
281957,185
281957,769
350,65754
350,8966
350,9880
350,600
350,2501
150540,812
150540,260513
150540,12092
150540,11360
150540,4977
329865,126889
329865,157336
329865,828
329865,10200
329865,348
68718,272
68718,862
68718,600
68718,438145
68718,281957
169917,4771
169917,769
169917,398181
169917,8012
169917,37645
241554,10651
241554,345887
241554,281957
241554,357096
241554,445954
194662,98566
194662,14
194662,272
194662,1927
194662,155
8966,24021
8966,466282
8966,50619
8966,43923
8966,9880
484436,445571
484436,9598
484436,311291
484436,450322
484436,370755
507076,184352
507076,449176
507076,467952
507076,424694
374720,369885
374720,676
374720,424
307081,70
307081,396371
307081,312221
307081,22881
307081,60308
228150,369885
228150,424
228150,857
228150,374720
228150,1771
313369,10947
313369,2976
313369,525
313369,6477
313369,10545
106646,627
106646,400535
106646,463684
106646,318846
106646,1359
454227,424
454227,769
454227,640
454227,443009
454227,451915
520360,500
520360,1844
520360,949
520360,75656
61791,119450
61791,63
61791,76341
61791,604
61791,605
381284,369972
381284,487558
381284,50014
381284,424
381284,568
168259,281957
168259,345887
168259,156022
168259,10483
168259,395834
455980,460019
455980,254470
455980,489931
455980,445571
455980,390043
242582,9654
242582,218
242582,449443
242582,396371
242582,64690
500919,15069
500919,984
500919,807
500919,75780
500919,357096
1124,675
1124,75656
1124,291805
1124,44214
1124,674
438145,281957
438145,11121
438145,504
438145,345887
438145,101
464502,74997
464502,281957
464502,458594
464502,357096
464502,10781
16869,424
16869,857
16869,369885
16869,637
16869,2503
458737,458594
458737,324786
458737,9552
150689,10882
150689,809
150689,2312
150689,5393
150689,11224
281338,101299
281338,131631
281338,336843
281338,262500
281338,262504
49017,36647
49017,228150
49017,400155
49017,36648
49017,792
53182,57165
53182,18823
53182,37958
53182,188207
53182,10323
346672,12437
346672,24
346672,8966
346672,277
346672,24021
451925,13
451925,38
451925,261470
451925,449176
451925,398818
440161,682
440161,429
440161,510
440161,8966
440161,222935
11324,336843
11324,392044
11324,75780
11324,181283
11324,11929
273248,120
273248,253412
273248,9350
273248,44115
273248,81390
398818,449176
398818,26371
398818,424694
398818,376867
273481,345887
273481,979
273481,4771
273481,479
273481,562
399055,440298
399055,381284
399055,150689
399055,9738
399055,36647
419743,449176
419743,184352
419743,377154
419743,126331
419743,382475
395990,4771
395990,64689
395990,562
395990,395841
395990,1572
359940,600
359940,281957
359940,458737
359940,398181
359940,345887
500852,238
500852,240
500852,769
500852,1422
500852,169917
216015,12689
216015,8966
216015,466282
216015,9813
216015,43923
474354,336843
474354,8055
474354,1645
474354,390051
474354,13655
340674,340613
340674,4347
340674,34584
340674,340666
340674,51828
17979,13188
17979,8871
17979,1585
17979,13377
17979,10147
372058,505262
372058,8392
372058,14069
372058,4011
372058,270303
315837,201088
315837,782
315837,603
315837,605
414191,15021
414191,15206
414191,519247
414191,1970
414191,10331
472451,449176
472451,26280
472451,26933
472451,376867
472451,377154
339103,769
339103,261023
339103,396371
339103,156022
339103,28110
449176,511785
449176,152584
449176,184352
1422,37645
1422,357096
1422,1266
1422,96
1422,4771
500475,4771
500475,8012
500475,38842
500475,398181
500475,17494
324786,374720
324786,424
324786,769
324786,438799
324786,443009
18239,24021
18239,36648
18239,50619
18239,50620
18239,49017
483184,357096
483184,281957
483184,458594
483184,345887
483184,1696
392044,4176
392044,75780
392044,60670
392044,281957
278927,407436
278927,9502
278927,9325
278927,116149
278927,34584
264660,438590
264660,62
264660,2048
264660,198184
264660,157336
1417,10882
1417,11224
1417,426543
1417,566810
1417,808
395841,357096
395841,75780
395841,4771
395841,281957
395841,392044
312221,9443
312221,22881
312221,10158
312221,60308
62764,58595
62764,408
62764,290595
62764,60304
62764,32593
440298,13
440298,24420
440298,235
440298,1628
440298,1643
569547,157353
569547,62
569547,78
569547,335984
569547,264660
401905,198663
401905,101299
401905,157350
401905,2048
401905,294254
274857,19957
274857,6520
274857,18937
274857,762
274857,11527
147441,9837
147441,381284
147441,487558
147441,414425
147441,16366
154400,324542
154400,769
154400,156022
154400,241554
154400,64689
476292,378064
476292,370663
476292,297762
476292,273153
476292,52371
334543,424
334543,769
334543,451915
334543,487558
334543,467952
293768,11859
293768,984
293768,1571
293768,9737
293768,500664
486947,11001
486947,6933
486947,1256
486947,21240
486947,893
470894,474395
470894,44912
470894,155
470894,272
470894,1924
14574,423
14574,424
14574,369885
14574,289
14574,637
121046,149465
121046,147371
121046,149468
121046,149467
121046,274857
513340,10818
513340,370663
513340,258480
513340,273153
513340,437557
429351,281957
429351,423899
429351,193756
429351,8966
429351,222935
448776,10734
448776,769
448776,107846
448776,424
448776,278
400579,433
400579,2758
400579,425
400579,111
400579,82702
265208,309242
265208,32044
265208,8065
265208,524
265208,396371
396371,640
396371,1645
396371,346685
396371,242
64690,341006
64690,769
64690,1991
64690,294963
64690,562
58595,290595
58595,408
58595,385448
58595,10882
58595,411
220882,198663
220882,157350
220882,78
220882,336843
220882,101299
532869,66534
532869,366696
532869,349190
532869,512391
532869,514281
417261,396371
417261,395990
417261,307081
417261,489999
417261,157336
391713,273153
391713,398818
391713,426613
391713,9813
391713,84892
400617,9339
400617,399057
400617,1367
400617,28468
400617,340027
652,10693
652,57165
652,11527
652,18823
652,188207
24021,50619
24021,36648
24021,50620
468362,691
468362,85
468362,564
468362,18
468362,600
196867,11224
196867,407655
196867,224141
196867,150689
196867,9325
429203,75656
429203,339403
429203,359412
429203,520360
429203,449443
222935,10229
222935,9880
222935,449176
222935,308369
222935,90369
491418,371645
491418,331588
491418,9364
491418,36536
491418,332045
460071,396371
460071,332283
460071,424
460071,769
460071,640
446354,891
446354,424
446354,769
446354,640
446354,443009
462919,621
462919,224141
462919,429417
462919,557648
462919,2976
37799,65754
37799,201088
37799,15472
37799,446807
37799,24253
341174,22705
341174,84892
341174,336843
341174,101299
341174,8966
467952,449176
467952,424
467952,424694
467952,84892
152601,604
152601,605
152601,335984
152601,500664
152601,38
120467,539
120467,340613
120467,311
120467,843
120467,97630
489931,75656
489931,269795
489931,5143
489931,37797
489931,912
6977,4836
6977,101
6977,156022
6977,189
6977,59967
2502,2501
2502,562
2502,2503
2502,9739
2502,769
561,272
561,155
561,209112
561,49026
561,49521
332567,578
332567,135397
332567,345940
332567,75174
332567,579
335797,260514
335797,9598
335797,258509
335797,9836
335797,24662
146233,37645
146233,345887
146233,357096
146233,984
146233,4771
454652,443009
454652,451915
454652,401847
454652,487558
454652,340613
38,1903
38,261470
38,521
38,77
38,19913
11036,1366
11036,1246
11036,688
11036,1494
11036,7555
381283,769
381283,500919
381283,475210
381283,473149
381283,238636
393624,424
393624,769
393624,640
393624,487558
393624,324786
261470,34494
261470,276
261470,24420
261470,1643
429417,416234
429417,77949
429417,620
429417,566512
429417,91586
369523,273153
369523,9813
369523,370663
369523,426613
369523,376867
296096,8966
296096,466282
296096,43923
296096,11929
296096,9880
11130,4974
11130,400617
11130,50546
11130,521
11130,13
73881,21385
73881,920
73881,568
73881,10193
73881,155
502682,451480
502682,5951
502682,448514
502682,125255
419478,376660
419478,10947
419478,11355
419478,4951
419478,15144
15472,65754
15472,315837
15472,397837
15472,101299
15472,131634
370663,513
370663,52371
370663,449176
370663,258480
370663,507076
473019,10818
473019,370663
473019,258480
473019,273153
473019,52371
314365,446354
314365,396371
314365,11931
314365,376867
536176,551095
536176,419546
536176,397403
536176,511457
536176,462963
433498,424
433498,769
433498,451915
433498,487558
433498,467952
438650,345887
438650,458594
438650,357096
438650,46957
438650,74997
491584,8643
491584,263471
491584,123997
491584,407874
491584,268373
557648,449176
557648,184352
557648,502220
557648,424694
557648,377154
6479,604
6479,605
6479,9739
6479,603
6479,76341
398181,8012
398181,769
398181,4771
287495,423
287495,424
287495,369885
287495,637
287495,14574
59440,10191
59440,800
59440,17689
59440,7859
59440,666
50620,36648
50620,50619
50620,49017
459910,1900
459910,627
459910,2034
459910,438808
459910,253
77338,44564
77338,13
77338,862
77338,68718
77338,23168
455108,281957
455108,198663
455108,336843
455108,401905
455108,392044
64682,346685
64682,27066
64682,8966
64682,9880
64682,454983
406997,1265
406997,73
406997,442062
406997,400928
406997,948
2503,2501
2503,4771
2503,9331
2503,562
27022,808
27022,566810
27022,34584
27022,11527
27022,10882
395991,49017
395991,228150
395991,122
395991,707
395991,2924
443009,487558
443009,451915
443009,363676
70,1374
70,1371
70,1375
70,1367
70,396371
283366,1452
283366,8536
283366,209112
283366,297762
283366,141052
385360,281957
385360,562
385360,238636
385360,245891
385360,442249
333696,424
333696,14574
333696,637
333696,228150
333696,324786
6023,439
6023,637
6023,745
6023,1374
6023,1165
1402,451915
1402,8916
1402,310307
1402,10139
1402,2539
465136,321612
465136,336843
465136,476926
465136,401905
465136,428078
13813,424
13813,228150
13813,14574
13813,16869
13813,289222
39254,2048
39254,604
39254,605
39254,198184
39254,157336
425972,405774
425972,76341
425972,8810
425972,297762
425972,9659
45269,1165
45269,858
45269,18320
45269,38050
45269,801
7485,7516
7485,1572
7485,1266
7485,186
7485,9331
432301,440298
432301,403
432301,376866
432301,2604
432301,2142
426613,449176
426613,10818
426613,507076
426613,370663
82693,14313
82693,417678
82693,286565
82693,13
82693,510
787,249070
787,101
787,2501
787,156022
787,390043
385332,101
385332,281957
385332,345887
385332,11713
385332,357096
112160,53932
112160,14
112160,449176
112160,86331
112160,17130
421471,272693
421471,449176
421471,2105
421471,9880
421471,308369
87827,700
87827,205775
87827,551
87827,10527
87827,14372
44214,566512
44214,38810
44214,574
44214,244786
470229,357096
470229,133805
470229,238636
470229,500664
470229,281957
50646,844
50646,111969
50646,12556
50646,63492
50646,10641
489929,1927
489929,812
489929,50620
489929,76492
489929,270946
399404,424
399404,14574
399404,637
399404,228150
399404,324786
290595,15472
290595,767
290595,808
290595,809
491622,324786
491622,374720
491622,8741
491622,602
491622,137113
396461,627
396461,396371
396461,22705
396461,845
396461,617
254320,119450
254320,133121
254320,63
254320,280
254320,6479
505192,20352
505192,196867
505192,150689
505192,278927
505192,283366
508763,392044
508763,281957
508763,395990
508763,75780
508763,11929
399170,520360
399170,339403
399170,336004
399170,1701
399170,531593
176147,10818
176147,370663
176147,258480
176147,273153
176147,52371
429200,769
429200,398181
429200,339692
429200,169917
429200,4771
293863,1024
293863,38
293863,521
293863,24420
293863,13523
333371,562
333371,2320
333371,1571
333371,293768
333371,146233
13885,276488
13885,769
13885,19908
13885,473149
13885,238636
437586,449176
437586,376660
437586,8363
437586,11355
437586,2105
11321,415086
11321,393961
11321,76127
11321,476889
11321,470763
75780,357096
75780,4771
75780,11423
75780,37645
75780,281957
290098,52371
290098,370663
290098,22705
290098,258480
290098,301365
205587,1645
205587,396371
205587,314365
205587,389
205587,11881
406990,75780
406990,782
406990,4349
406990,949
406990,14556
302401,487558
302401,363676
302401,443009
302401,451915
302401,424
487670,141052
487670,1924
487670,49521
487670,1452
487670,379291
274870,157336
274870,126889
274870,348
274870,8077
274870,286217
4348,8966
4348,222935
4348,281957
4348,449176
4348,466282
76726,376660
76726,449176
76726,286565
76726,378064
76726,14
5289,1969
5289,429203
5289,500919
5289,531593
5289,339403
10200,828
10200,602
10200,348
10200,18
10200,8077
346685,2501
346685,77
346685,2502
395834,345887
395834,75780
395834,73861
395834,8090
13811,10424
13811,11336
13811,171540
13811,12554
13811,39857
301337,604
301337,605
301337,9739
301337,500664
301337,335984
44826,12155
44826,411
44826,671
44826,674
44826,8966
394117,376867
394117,17130
394117,13
394117,627
394117,235
353326,340027
353326,334543
353326,205596
353326,424
353326,769
84892,449176
84892,398818
84892,426613
84892,376867
84892,308369
503346,9555
503346,26405
503346,602
503346,137113
503346,8810
400710,238636
400710,473149
400710,769
400710,476926
400710,398181
453201,8966
453201,350
453201,424
453201,591
453201,2501
23168,8966
23168,1422
23168,627
23168,680
23168,294254
318846,424
318846,769
318846,640
318846,429203
318846,443009
9339,924
9339,2044
9339,82703
9339,1597
9339,1649
375785,449176
375785,398818
375785,84892
375785,426613
375785,100898
300671,402298
300671,424
300671,467952
300671,324786
300671,205775
139567,15069
139567,984
139567,807
139567,75780
139567,357096
1640,75780
1640,193893
1640,1266
1640,638
1640,10990
390062,314095
390062,627
390062,281957
390062,336843
390062,101299
376867,449176
376867,511785
376867,258480
376867,14
376867,627
402298,424
402298,769
402298,487558
402298,334543
382591,293768
382591,433
382591,11631
382591,118
382591,394117
171274,8966
171274,10734
171274,769
171274,222935
171274,9880
20662,375588
20662,10907
20662,11469
20662,192
20662,9476
379149,281957
379149,238636
379149,345887
379149,357096
379149,4836
1949,16995
1949,12150
1949,984
1949,11355
1949,298459
6947,146233
6947,281957
6947,956
6947,521
6947,14869
443463,8966
443463,398181
443463,417678
443463,414425
443463,466282
372343,281957
372343,392044
372343,381034
372343,4771
372343,60670
400928,8841
400928,8618
400928,52449
400928,437670
400928,233063
1495,38543
1495,26175
1495,10786
1495,39382
1495,298667
399057,345887
399057,146233
399057,458594
399057,956
399057,14869
469721,294254
469721,336843
469721,485415
469721,170
469721,133121
345934,424
345934,423
345934,228150
345934,14574
345934,1771
1246,1366
1246,1371
1246,1375
1246,1367
1246,921
511785,184352
511785,377154
511785,382475
116745,403119
116745,578
116745,492336
116745,1907
116745,8914
88005,258480
88005,11631
88005,370663
88005,273153
88005,52371
68734,424694
68734,300671
68734,152532
68734,266856
68734,424
302946,1844
302946,400579
302946,395990
302946,629
302946,414
389015,396371
389015,443009
389015,424
389015,769
389015,640
122906,13
122906,433
122906,627
122906,141
122906,451925
4347,387
4347,424
4347,637
4347,6023
4347,111
2567,363676
2567,424
2567,769
2567,640
2567,316029
339692,4771
339692,345887
339692,868
339692,2749
339692,15069
381289,281957
381289,336843
381289,101299
381289,8966
381289,9880
394741,487558
394741,324786
394741,472451
394741,443009
394741,451915
48492,4771
48492,392044
48492,12150
48492,9411
48492,75780
454283,32302
454283,18885
454283,16314
454283,105
454283,1562
68724,604
68724,605
68724,603
68724,2048
68724,335984
264999,920
264999,77338
264999,64688
264999,138832
264999,100042
83542,604
83542,605
83542,9739
83542,76341
83542,500664
332283,424694
332283,401847
332283,324786
332283,205775
332283,423899
192102,9386
192102,956
192102,9415
192102,39514
192102,337170
339988,157353
339988,62
339988,264660
339988,296
339988,78
8204,11224
8204,411
8204,2454
8204,7980
8204,13
